data;mês;dia_mes;dia_semana;setor;turno;carro;tempo_coleta;horas_coleta;tempo_trajeto;horas_trajeto;tempo_aterro;horas_aterro;km_coleta;km_trajeto;producao;producao_ton;viagens;ton/h;ton/km
06/04/2021;abr;6;ter;4;NOTURNO;33024;06:05:00;6,08;01:20:00;1,33;00:20:00;0,33;34;42;13.850;13,85;2;2,277;0,407
06/04/2021;abr;6;ter;5;NOTURNO;33048;06:02:00;6,03;01:19:00;1,32;00:19:00;0,32;30;43;15.230;15,23;2;2,524;0,508
06/04/2021;abr;6;ter;7;NOTURNO;32051;07:01:00;7,02;01:23:00;1,38;00:25:00;0,42;38;40;16.310;16,31;2;2,324;0,429
06/04/2021;abr;6;ter;21;NOTURNO;33049;07:19:00;7,32;01:08:00;1,13;00:22:00;0,37;45;30;17.730;17,73;2;2,423;0,394
06/04/2021;abr;6;ter;21;NOTURNO;32049;01:25:00;1,42;00:40:00;0,67;00:35:00;0,58;1;7;6.120;6,12;2;4,32;6,12
07/04/2021;abr;7;qua;8;DIURNO;31912;08:34:00;8,57;01:34:00;1,57;00:23:00;0,38;37;46;18.210;18,21;2;2,126;0,492
07/04/2021;abr;7;qua;10;DIURNO;33048;07:40:00;7,67;01:16:00;1,27;00:44:00;0,73;42;23;21.080;21,08;2;2,75;0,502
07/04/2021;abr;7;qua;12;DIURNO;32049;03:11:00;3,18;01:03:00;1,05;00:12:00;0,2;10;24;8.510;8,51;1;2,673;0,851
07/04/2021;abr;7;qua;12;DIURNO;33024;04:50:00;4,83;00:56:00;0,93;00:15:00;0,25;25;25;12.690;12,69;1;2,626;0,508
07/04/2021;abr;7;qua;15;DIURNO;32048;07:25:00;7,42;02:04:00;2,07;00:31:00;0,52;29;29;22.920;22,92;3;3,09;0,79
07/04/2021;abr;7;qua;17;DIURNO;33049;11:00:00;11;00:45:00;0,75;00:40:00;0,67;53;22;26.650;26,65;3;2,423;0,503
07/04/2021;abr;7;qua;19;DIURNO;32051;08:40:00;8,67;01:57:00;1,95;00:35:00;0,58;51;61;16.560;16,56;3;1,911;0,325
07/04/2021;abr;7;qua;1;NOTURNO;32048;06:50:00;6,83;01:37:00;1,62;00:27:00;0,45;36;48;17.590;17,59;3;2,574;0,489
07/04/2021;abr;7;qua;2;NOTURNO;33024;05:35:00;5,58;01:15:00;1,25;00:15:00;0,25;40;34;14.730;14,73;2;2,638;0,368
07/04/2021;abr;7;qua;6;NOTURNO;32051;06:04:00;6,07;01:12:00;1,2;00:23:00;0,38;39;38;15.380;15,38;2;2,535;0,394
07/04/2021;abr;7;qua;11;NOTURNO;31912;08:16:00;8,27;00:51:00;0,85;00:24:00;0,4;29;31;17.600;17,6;2;2,129;0,607
07/04/2021;abr;7;qua;21;NOTURNO;33049;05:43:00;5,72;00:23:00;0,38;00:16:00;0,27;45;13;10.350;10,35;1;1,81;0,23
